cat	group_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8	summ1	summ2	summ3	rating1	rating2	rating3	rating4	rating5	rating6	rating7	rating8
electronics	B002RL8IGI	Took a long time to get and when I finally got them, they didn't seem to work to well joined up (I have 3). Also, they should have come with DC chargers, they don't seem to work well with batteries, imho.	The units work fine and the setup is described in the manual works well. The one thing that my wife and I do not like is the Audio. Sounds like you are in a box. The calling button is also a bit strange. It first beeps and then you can speak. The distance it covers is very good.	Don't waste your money on these. Although if you try hard enough you can make out what the other person is saying, the audio quality is extremely poor, as is the noise cancellation (if any), and the general sound quality. I wish I had saved the boxes. I'd be sending these back.	And the problem is having to wake the kids up in the morning to go to school. They are upstairs and I used to have to trek up and down a couple of times each morning. We put one in each bedroom, 1 in the living room and 1 in the study. Problem solved.	We use it in our office to tell another employee if they have a call on hold, but that is about all it is good for. Don't bother trying to have a conversation, clarity is too poor. I didn't realize until after the fact that I should have just bought walkie talkies. At least battery life in these are good.	I searched extensively for an intercom for my large two floor home. I selected this unit (ordering three units) and regret my decision. It was very difficult set up and doesnot work that well. I wish I could get a refund as we never use it. My search continues.	It is simple to program and operate, which is just what I was looking for. I just wish I didn't have to buy a power cord separately. I am running it on batteries right now, but I am not sure how long they will last.	I've spent hours already trying to set up my network and get this system going. The engineering leaves much to be desired. Can't get it to work as advertised. The Manual is one of the least helpful such documents I've ever seen.	This product does not come with an external charging adapter and must use batteries (not included). The usability is difficult and may require some technical ability. The item can be synced with other units in the location of installation. Shipping has been reported to take longer than expected and audio quality leaves much to be desired.	These units have poor sound quality. They can be used for one or two word interactions, but having a conversation is very difficult because the sound clarity is too poor. They are also difficult to set up and don't come with power cords. These are not good units for communicating between rooms.	This intercom is difficult to set up and the manual that comes with it is lacking in help. Audio is poor and sound quality isn't great, background noise is picked up greatly. Batteries are supplied, but a power cord needs to be purchased separately.	2.0	3.0	1.0	5.0	3.0	1.0	4.0	1.0
electronics	B004G8EKIA	I did not go wrong when I purchased this stereo receiver. tons of power pushing my system, what an upgrade from my old one, this is a real powerhouse. It pounds. Remote control, quality crafted stereo receiver for under a hundred bucks! I thought it would be good, but did not expect this. A sweet deal!	If you want just a stereo then this will do the manual is very limited. The fan is loud and the USB player will only let you go one track at a time so if you have a 100 tracks it will take time to get there. The sound is fine and is easy to connect up.	First problem I have with this receiver is you can't set the channel presets. Also the speaker wire terminals are NOT clamps and it took me a while to screw them in. The power is good and it looks durable. I don't believe you can play the tv's sound through the receiver.	I got this to replace a 20 year old stereo I had. I went by the speaker specifications when I purchased this one. When I hooked it up, this receiver pushed my 15's more than I ever heard before without messing them up. Perfection!! I recommend this to everyone!	This Amp is very inexpensive and its performance proves its quality. First, you can't play a turntable without buying a preamp. That would be ok if the sound reproduction was good. I would have settled for good. I didn't settle and returned it; you shouldn't either.	Amazon ought to be ashamed to carry this junk on their line-up. You got enough BAD reviews to open your eyes.Just reading the murdered English in their manual is enough to tell you this is made by prisoners. Just try totune to your station on the FM - hopeless. The noisy constant fan! The unreal low price should have been a warning.Shame! Charles	This sound system is worth all the money you pay for it iv never heard bass so clear and ass loud as its going tough my 12 '' and 8 '' and two 5 '' subwoofers buy this if your looking for grate sound.	The Stereo works fantastic as Amp. for laptop Or MP3 player. Radio reception is poor. Has great range of sound adjustment. I have it in my garage, with speakers all around. Use mostly for Sirius / XM radio on laptop.	This is an inexpensive stereo option. The manual is limited and is difficult to read, also the fan is loud. The radio reception is poor quality. The sound quality though is great, when listening to Sirius or when hooked up to a laptop.	This is a good item for a low price and it will get the job done. The sound is clear, loud and it's easy to connect. However, the fan can be loud. This isn't a high quality system for professionals working at home. It's only recommended for non-professionals and casual at home listening.	The low price of this stereo receiver makes it mostly recommended as a replacement for a very old receiver or as a basic receiver for hooking up MP3 players or computers. It does have decent sound, though audiophiles and radio listeners should steer clear, as the hookups are basic and the radio reception is poor.	5.0	3.0	3.0	5.0	1.0	1.0	5.0	3.0
electronics	B00DB94FB2	The only thing I would like to see is an aux cord when I don't want to charge my phone, but It's not a huge deal. The sound is great, and worth the money. The remote works with your phone, and that's precisely what I wanted	you need to buy an adaptor for Ipod Nano's so it was disappointing when my son opened it up on Christmas and could not use it for his Ipod Nano. It does not state that anywhere on the box or when I ordered it.	Love, love, love the ability to save multiple preset radio stations, and the sound is clear, crisp... amazing! It almost makes waking up a pleasure. Another feature I never thought I wanted, but really appreciate, is the ability to set the brightness of the clock readout. Brilliant!	The sound of the radio is of real quality. I also like having the two separate alarms and the alarm is not obnoxious yet still wakes us up. My wife charges her iphone on it regularly and works out well. We like the Sony so much I got one for my son and his wife for a Christmas present	I was looking quite awhile to locate a decent sounding radio / iPod player which would also charge my iPod. This is perfect for our family. It's a lot smaller than I thought, which is good. And when we update to an iPhone 5, there is a $5 adapter to get so we can still use this radio. Perfect!	As always, Sony has a 'winner' in this combined am / fm radio and docking station. Great sound, looks good and wife is very pleased as she put it in her craft work area. Finding the combo of am / fm wasn't easy either.Lots of fm only units. This is a great product.	My husband really like this speaker... LOVE IT! Its so easy to operate by setting the alarm.. I like the way when you put your iphone 4s to the dock its charge at the same time while you are you using it...! Great product	While I like the Dream Machine I don't know why there's so much static. It's nearly impossible to get a couple of my favorite radio stations without constant static in the background. My other radio doesn't do that. I've even tried different locations for it. That's a big disappointment and shortcoming of the product.	This FM/AM radio, iPhone docking station and alarm clock is a perfect combination! The sound is amazing, the alarm clock is not annoying, and the design looks great! It would be nice to have a place to use an aux cord and certain apple products require a $5 adapter to use the docking station but other than that, this product is fantastic!	The Sony product is great and the radio have high quality speaker. It is also packed with the capacity to charge other gadgets. The remote control can also work with phones which makes it comfortable and a great buy. Though it can sometimes be difficult to get and switch stations with some constant static.	This Sony radio is very high quality. The sound is very clear and crisp, almost as if it's live. The charging station is very useful for charging an iPhone or iPod, but an adapter is required for a Nano. The preset stations, clock, and alarm are useful additional features that help make it a great product.	5.0	3.0	5.0	5.0	4.0	5.0	4.0	3.0
electronics	B001H9O71Q	Basic GPS unit for those of an older age who do not use smart phones. The screen is small but for the price, a very nice unit. Touch screen and color graphics are a nice touch. If you are looking for the no frills, basic navigation system, save $50 + and buy the 'One'.	I'm a novice at electronics, and there are too many processes to go thru to get to what you want (to get to your destination) - once you figure out all of the buttons to push - it's a beautiful thing...	I got this because it was a deal. I should've known TomTom has a funny way of making you forced to update maps, and in LA a lot of stuff changes so you may as well not even bother with this thing. I use this now as a back-up gps. I just hope this thing does find if and when my phone dies.	Works great. Easy to use. Sometimes may try to take you on a weird route. Still have to have an idea of how you want to get somewhere so that doesnt happen. But, it will always get you to where you want to go.	I got this for my granddaughter for Christmas and she is thrilled with it. She has her own business and must do a lot of traveling, this has been a great help to her in her travels. She is very pleased with it and I am so glad I got this for her gift.	I got a great deal on this TomTom. Not the latest technology (screen size, touch screen / talk options) but had all the features I needed (full street names big visuals). It hasn't dissappointed yet! I would recommended this to anyone.	very easy to set up and use! arrived about 2 days sooner than expected. i didn't even have to read the manual to figure out how to use it. i also like the speedometer on it (my car's speedometer isn't working).	I have purchased this nit back in 2011 and after couple month the battery kept dying.After researching this problem, it appears there is a known bug that the gps wakes up by itself and drains all battery.No firmware update ever resolved it.Avoid, not recommending, seems like a widely known issue.	Overall a great gps for the price, simple and easy to use. Makes a great gift for those not comfortable using a smartphone. May not keep up with the latest map updates, especially in a big city, so keep that in mind when using.	This GPS unit is good to have as a backup or for those who can't or don't want to use a smartphone. It does not have modern features, like touchscreen or voice control, but it does the job of giving directions to a destination with relative ease.	A basic, user friendly GPS.  With it's smaller screen and simple touch screen features this TomTom is great for the price. The color graphics and on screen speedometer are also nice features. It does require user's to update the maps, but overall, a great buy for a novice user.	4.0	4.0	1.0	4.0	5.0	5.0	5.0	1.0
health_personal_care	B005JS7KME	Got these for my 9-year-old who has really bad foot odor. I really had little confidence that these would work but needed to try something- ANYTHING- to help. And lo and behold they actually work. So well that I ordered another set for a second pair of shoes.	I love this product... 100% natural AND eliminates foot odor! While it appeared to be smaller than my 8.5 shoes, the insole fits perfectly into heels, boots, flats and running shoes. Very impressed! It has worked wonders so far! Can't wait to put this product to test this summer!	I have thick peeling, itchy skin on the bottom of one foot. I had tried everything to get rid of it. The final trick were these inserts along with slathering coconut oil mixed with athletes foot oil & oregano oil two times a day. FINALLY, normal soft feet!	The insoles fit comfortably into my shoes. I love that they are discreet and thin. I no longer have to worry about foot odor or about my shoes stinking. I definitely can see where my shoes will have a longer life by using these insoles.	Product is OK. It doesn't seem to work as well for me as was advertised. It does serve to keep your show a little dryer, but doesn't seem to work all day for me. I wouldn't recommend it as there are other options that do the same but cost less.Ok	Im sure if I were to put them in my tennis shoes they would probably fit perfectly. I am wearing them in my croc I have to wear for work. Thay are to thin width wise to really make a difference bc they tend to slide around.	This is a fantastic product that I would recommend to anyone who wants their feet to feel cooler, more comfortable, less sweaty and ultimately less smelly! They are so effective I use them in several pairs of shoes. I'm a very happy customer, thanks so much Zederna!	These insoles are so thin that I can even wear them in my pumps. They look SO much nicer than odor-eaters and work way better too. I highly recommend them. I accidentally ordered a men's 9 instead of a women's 9. It was huge but very easy to trim down with scissors. Enjoy!	This is an excellent product! Just as advertised, it eliminates foot odor and on top of that the insole is so thin it can be used in multiple types of shoes including heels. Very comfortable and well worth the price to have soft odor free feet after wearing shoes!	The inserts are effective at reducing foot odor and moisture in most cases. The thin shape makes them easy to add discretely to your shoes. Depending on shoe width, the insert may slide around a bit in wider shoes but it can also easily be trimmed to fit a narrower shoe.	These insoles are quite effective at eliminating foot odor and fit any style of shoe. They also wick moisture and are thin enough to be comfortable on any arch. The only drawback may be the price for more thrifty consumers.	5.0	5.0	5.0	5.0	3.0	3.0	5.0	5.0
health_personal_care	B006ZO110I	I've been using this for about two years and refilled twice. The only thing is I didn't pay attention that this one has a wand which I don't need since I have one and it is still in very good shape. I was looking for just refills. But in any way it's easy to use and works well for us.	I love these cleaners. They are easy to use and do a great job. Some people have commented they wish they had more cleaning agent, but I think they have more than enough and often use one to clean two toilets.	I love these - most practical bathroom item created - but what is going on??? Chlorox customer service advised they have discontinued! What a huge disappointment after throwing away the old brushes!!!!!!!!!!!!!!!!	These are great because they are sanitary (unlike the scrubbers that get reused everytime). I use these for one cleaning, then throw away (without having to touch anything!) Good scrubbing action, and gets the toilet good and clean.	These are great buys. They are smaller than the regular size but well big enough to clean the toilet, much more efficient, I always felt wasting when use the regular ones and now with these, work great and well worth the money.	I have been using these for a long time, what I like about them is they are disposable and you do not have to look at a stained toilet bowl brush in the corner. Clorox toilet bowl cleaners do a very nice job.	i live in a condo and only have 1 toilet that doesn't have to be cleaned every week. so this is perfect. no clutter next to the toilet with unsightly brushes and throwing the tip away after each makes cleaning the bathroom much more palatable.	Who wants to stick their hand in a toilet? Not I! I love the wand and the refills are wonderful. NO touching required, and they scrub very well! My toilet bowl is gleaming after using these!! I'll never use anything else.	These are very useful- great for cleaning the toilet in a sanitary manner since they don't require touching it, plus the tips are disposable so they don't need to be cleaned. They are very effective, easy to use and can enhance the look of the bathroom since they make unsightly toilet brushes obsolete.	These are a very needed and practical item for cleaning. They come with refills and a wand which makes cleaning the toilet easier and more sanitary. These do a great job at cleaning up the mess and are great disposable products at a great price. No more unsightly toilet brushes clogging up the corner.	Practical, sanitary, and easy to use no-touch toilet bowl cleaner.  Smaller than regular size, but with enough cleaning power to do up to two toilets.  More efficient, and easily disposed of scrubber pad that does not clutter the commode area as old style toilet brushes tend to do.  The wand is reusable and long lasting as well.	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
health_personal_care	B008Z8W714	I didn't know what to expect when I ordered this, but I am pleasantly pleased. The unit fits perfectly into my Zippo case, and is easy to fill and use. Once in a while it won't light but if you blow into the flame area it will work the next try.	I think Zippo over charges and I wanted to try off brand. I must say I have been pleasantly surprised and my wallet thanks me. Don't get me wrong I love classic Zippo lighters however butane torches are clean burning and are great for EDC since they have almost zero odor. The torch also adjusts very nicely so you can fine tune your preference.	got for a christmas gift and i cant say how awsome this insert is i love that the fuel wont just evaporate the flames a bit big at first and had to urn screw as how the little lever wouldnt go over far enough but again no biggy awsome product i challenge you to blow this thing out	i bought this product expecting it to last about a week, that was almost a year ago. i want to share just the facts: it plastic so don't go beating it aroundits a little small so some tape is needed to build it up and hold it in placeif you clean it right it will last for a long time	I like carrying my classic Zippo and not tainting my cigars with lighter fluid. Much cheaper to get a Zippo and this insert than to buy a Zippo Blu. I also prefer the electric ignition to the flint wheel on the Zippo Blu.	I love the old style Zippo but was having difficulty with the standard fluid and carrying the lighter around in my pocket. This made it very convenient and it's a cool 'novelty' item. I still keep most of my Zippos original (standard insert), but it's cool to have a few of these with the 'butane' conversion kit...	It did not fit properly. I then removed it and re-inserted original Zippo insert. To my dismay, cap of Zippo no longer closed properly. (Apparently, attempting to get the Thunderbird insert into the Zippo and close the cap caused the hinge to deform, rendering the Zippo unusable). Disappointing, to say the least!	Thank God I found this. It works on Butane, and it will hold fuel longer than a week. Stupid Zippo, with their flints, and their packing, and their wicks. They make a version of this with a flint, do not buy that one, buy this one. It works great. Stay away form Z-plus.	This butane conversion allows for the case of a classic Zippo to clean burning butane lighter.  It allows for flame height adjustments and holds its flame well.  It is a durable and reliable product that holds up well to wear and use. While this is not a licensed Zippo product it is important to note that its fit is not guaranteed.	This butane powered Zippo lighter boasts an electric ignition functions better than Zippo's traditional flint wheel. The size of the flame is easily adjustable with the turn of a screw, so excess butane is not wasted based on the consumers preference. The only drawback is that it may not fit some lighter cases.	This lighter insert fits inside a traditional Zippo case but doesn't use lighter fluid. It lasts longer than a traditional insert and costs less. It looks like a Zippo but works better and uses butane. The ignition is electric, not flint, and the flame can withstand wind without being blown out. Overall this lighter insert is recommended.	5.0	5.0	5.0	4.0	5.0	5.0	1.0	5.0
health_personal_care	B005H86LZ8	What else can be said..... this product is revolutionary. I cannot believe something so simple could be so effective and I wonder why I didn't see this myself! Kudos to the inventor. This magnet is strong and putting your glasses through the space while working is easy and just as easy to retrieve them when needed. Necessity is the mother of invention....	I saw this product on SHARK TANK and wanted it then. When I ordered it and tried it I was very impressed. The magnet is super strong and you can place it anywhere on your clothing. I bought 2 and will order more for Christmas gifts.Ellen	I wish I could use this, but my cardilogist said no.... even though I have a fairly new, high-fangled pacemaker. He doesn't have any problem with me having a cell phone in my shirt pocket, but said this magnet is just too powerful.	These little guys are amazing,, the magnetic is very strong,, your glasses will not fall out when bending over.. yeah maybe a crystal does fall out so what,, just glue it back in and it stays,, you'll always know where your glasses are,, love mine	I like it, keeps the glasses handy but when you bend over, they can fall out. So good idea, but has its limits. Perhaps if it didn't stick out as far, that would hold the glasses tighter.	ReadeRest Eye-Glass Holder-Magnet broke off after one week and I have no phone number to call the company. For the week I had it, it worked fine on my shirt but one of the front round magnets separted from the glass holding piece. A piece of junk!	Fantastic product! Ive had to order more now that ive shown to everyone. They all want one. Can be placed anywhere on your clothing and blends right in. Had people think it was part of the clothing. great gift / stocking stuffer	Great Product! Very Strong Magnet that works in holding and keeping your glasses secure. Well worth the price that I paid for it... First showing of this product was on 'Shark Tank' and it has lived up to expectations!	This lived up to expectations after the product was featured on Shark Tank. The magnet is very strong, and will work anywhere on clothing. Glasses won't slip or fall. However, those with pacemakers should avoid due to the strong magnet. Overall, recommend.	As seen on, "Shark Tank" the powerful magnet allows glasses to be placed nearly anywhere on clothing.  Glasses remain in place through normally everyday activity. The magnet blends in with clothing, so it can be used with  any outfit. A few minor pieces may come loose but can be fixed with glue. Overall, great product and a great Christmas gift.	This versatile product has a very strong magnet and can be placed in any location to safely secure a pair of glasses. It's simple to use with limitations. Bending over can occasionally cause issues and this product isn't recommended for use near a pacemaker. Overall, the product is great and highly recommended.	5.0	5.0	3.0	5.0	4.0	1.0	5.0	5.0
health_personal_care	B004U3Y9FU	These are a good value, but they're NOT burp-less. They tend to make me burp for up to an hour or two after taking them. I don't like fish, so I was terrified of fish burps, but they're actually not terrible and don't taste very 'fishy.'	Well, I've taken the first softgel capsule and given it enough time now and I can say it is, indeed, truly burp-less, unlike certain other fish oil products I've tried that shall remain nameless. If I pass away due to coronary disease, I'll consider lowering my rating of it but I'll still have appreciated its burp-lessness.	i've tried the nature made original Fish Oil before and i didn't like the fishy smell and sometimes bad burp after taste... But this Burp-less version is really better as i haven't burped and it has no fishy smell... I'm switching to this one permanently..	My husband takes 4 per day - I take 2. The price on Subcribe & Save is good. The product is consistant high quality, delivered same time each month and I don't have to go to the store to find the shelf empty. Product is worth the purchase. I know I will get the same product every month and its a good product	I couldn't handle the burping up of fish smell that other fish oil gels came with. And preferred not to use the liquid version. This gel is great. I been using it for months now--and not one burp!:)	If you are like me I like sushi but I couldnt stand the constant taste of it when I was taking regular fish oil and krill oil pills, this is why I stopped taking them. the directions said to drink a lot of water when taking them and I did but it didnt matter. I love this fish oil it does what it says..	I have been using Nature Made products for years. I feel Amazon offers them at a great price. These Fish Oil caps are the burp less variety which I would recommend to others if you take Fish Oil daily as I do. I would order them again. Also received them within a few days.	For anyone like myself who uses Omega 3 Fish oil on a regular basis, I recommend this product. This is the burp-less version which leaves no after taste in your mouth and is easily swallowed with a small amount of liquid. Stay heart healthy and take Omega 3 daily.	Burp-less Omega 3 Fish oil soft gel capsule by Nature Made.  No fishy smell or bad after taste.  Available on Amazon and Subscribe and Save at great prices.  Consistently good quality and can be ordered to be delivered monthly.  Highly recommended as an alternative to other fish oil products.	These Fish Oil softgel capsules are high quality. Regarded as good value for money and the subscription option is reliable. The capsules do not have a strong fishy smell and overall fulfil their no-burp promise. This product is highly recommended.	These are a great value and they can be taken every day. They are a great source of fish oil without the burping side effects. These burp-less fish oil capsules are easy to swallow and leave no after taste or residual fishiness that. They are a great product at a great price.	3.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0
health_personal_care	B00GW5NX88	Immediately curbed my RLS. Feels great to get some sleep! Also has produced a noticeable improvement in my girlfriends mood over the last week. Cant recommend this stuff enough. Many people are deficient in Magnesium these days which can cause a whole host of problems. This pure product is definetly the most affordable and effective way to supplement magnesium daily.	It is a very good dissolving powder, i noticed that I feel much more calm and rested since using a teaspoon a day for the last 2 days... I cant give it 5 stars because of the short time Ive been taking it, but I will update this review in about a week.	I use this in conjunction with N-Acetyl L-Cysteine and TUDCA for the liver, but it has been GREAT for my arthritis! I definitely will continue to use this product. I currently take 3327 mg x d, so it is reasonably priced. Again, great product!	I purchased this to put in my Soylent mix, and I couldn't be happier. Like other supplements I've ordered from this company, the product is well shipped and the resealable bag is easy to store. I also like how concentrated it is, and how little I need to use to supplement my diet.Couldn't be happier.	I have been taking Magnesium supplements for a number of years. Magnesium Citrate seems to work best for me, and I like being able to customize my own dosage. No fillers, and no artificial flavoring, excellent packaging, and a quality product.	I am not pleased with this product. I ordered this because it was the same ingredient in a similar product, 'CALM' magnesium citrate powder. However, this product is not what I expected. It does not taste or fizz like the CALM powder. This was an attempt to order in bulk and save money, but I failed with this one.	I like this product, but not sure how it's as strong as it says it is. I have noticed that I have better results from the Calms magnesium than taking double the dose of this product. I don't get the upset stomach from this like what's common for a citrate form, so maybe it's being absorbed better.	The BulkSupplements Pure Magnesium Citrate Powder dissolves easily in liquid and works especially great in my natural smoothies that I mix in a blender, and can also work great with juices. A much better deal than magnesium citrate in liquid solution form, especially the 1Kg bag.	Effective Magnesium supplement powder. Dissolves very easily in liquid. Extremely easy to use. Great for variable dosage amounts that are appropriate. Top quality product that is affordable. Top notch shipping and packaging.	This Magnesium Citrate Powder is high quality and it dissolves easily in liquids. The powder is a good value and it mixes well with other supplements or even in smoothies for daily use. The resealable bag makes for easy storage which makes it an ideal way to supplement with Magnesium.	Pure Magnesium Citrate Powder  seems to help improve overall health and well-being, and comes conveniently-packaged in bulk for a significant cost savings.  Unlike CALM powder, this Magnesium Citrate Powder is not effervescent, but dissolves in liquid nicely which makes it ideal for blending into smoothies or other beverages.	5.0	4.0	5.0	5.0	5.0	1.0	4.0	5.0
health_personal_care	B004OQQLTU	Regretfully the package arrived in a plastic bag with a note on it telling us that the Post Office cares. The bottle had been completely crushed in bag it was sent in, so we never got to use it.The bag of liquid did smell great though!!!	I tried this on both a cotton t-shirt, and a polyester dress shirt, and it worked quite well, and very quick; almost effortless. Just spray it on, and smooth it with your fingers.The product says it can be used in the place of starch, but my wife tried it when ironing, and it didn't help at all.	i WOULD NOT RISK BUYING THIS ITEM. WAS DELIVERED TODAY. THE PACKAGE WAS COMPLETELY SOAKED AND THERE WAS NOTHING IN ANY SPRAY BOTTLE. I WILL BE ASKING FOR FULL REFUND.Amazon gave me a full credit when I chatted with them. I can't review since I didn't get any to try.	I really do not like to iron. I still have a scar from my last attempt. I love this product. I just spray onto my cotton shirt and smooth, then allow to dry about 30-60 minutes. There is an obvious reduction in wrinkles. No, it is not perfect, but it is presentable.	My wife and I tried this on a few items but it didn't work that great. I still have a lot of the bottle left so I'll keep on trying, but if we want it done right we still turn to the iron first. I do, however, really like how it takes away the static electricity buildup.	I love this stuff. It works on every types of clothing from jeans to tshirts and dress shirts. Spray a little on an work the wrinkle out with your hand! Just don't overspray. We take this on vacation so we don't have to waster our time ironing!	Woohoo what a great product. A few sprays and the wrinkles disappear from your teeshirts and dress shirts. It has a little trouble with clothing like dress pants and also it didn't work on removing wrinkles from my curtains. That said, this baby has saved me hours of ironing, and I'm super happy with this purchase.	This is a wonderful wrinkle release product. Just spray it on your fabric, any fabric smooth the product in with hands smoothing out wrinkles and let dry. Goodbye iron. I will definitely take it on my next vacation. It removes wrinkles and makes clothes smell fresh, I love it.	While it's not full proof, this spray is great at reducing the number of wrinkles in cotton and polyester materials. It's less effective on thicker materials. It's quick and easy to use, and it has a nice scent. It's a good thing to bring on vacation to freshen up packed clothes. Just be aware, the bottle is prone to leaking!	This spray works better than described. If used conservatively, wrinkles will come out of multiple kinds of fabric. This is a great alternative to ironing. The packaging will sometimes break in transit.	his wrinkle release product is great for anyone who hates to iron. Just spray on the fabric and smooth with fingers.  It seems to work better on some items than others: it is most successful with casual clothing like t-shirts and blue jeans. It also cuts down on static cling and smells great too!	3.0	4.0	1.0	4.0	3.0	5.0	4.0	5.0
home_kitchen	B0000CCY1S	I bought the Kiwi pro slicer, was cheaper and worked 100 times better then the OXO brand. Would not buy this brand again. When slicing it leaves all the sliced on the papaya and you can't contentiously keep slicing because it will fill up with papaya and stop slicing.	I am not excited about this peeler and wish I had found an easier tool. I have julienned my fingers using it - very sharp just like their other peelers which I have and love. It is difficult to use on carrots without injuring my fingers, maybe I just can't get the hang of it!	This is my 3rd purchase of julienne peelers the 1st 2 didn't work \u2026 waste of money. This one is the best ever! I have been making zucchini noodles and so many other things! Try this recipe I made! [...]	This julienne peeler works fantastic! I like the shield, I had to be very careful with my other on in the drawer to not get cut reaching for something. It is so much easier to handle with this grip and the blade stays in place. I would buy this product again.	This little guy performs really well and is comfortable to handle for long periods. The blade guard is a little weird in how it pivots, so it's kind of difficult to clean. My guard actually broke off, so I just left it off. The blades on this thing are quite sharp! So be careful if the same happens to you.	The Oxo Good Grips Julienne peeler is a great gadget. I use it to Julienne zucchini and eggplant. Zucchini Julienned and sauteed quickly with EVOO, garlic powder, sea salt and fresh ground pepper is a terrific side dish. Even people who do not like zucchini will eat this.	It's easy to use and clean. It's a good price and does exactly what I wanted. I bought it to make julienne veggies carrots, zucchini noodles. It makes shorter pieces than a big fancy spiralizer, but that's good for me.	Strong and it works. I made zucchini noodles with this handy little device and now it looks like I'll be making this more often.Julienne the noodles and lightly salt them while the noodles are drying, make whatever sauce you are going to pour over them. The heat from the sauce should cook the noodles to a perfect al dente.	This Oxo Good Grips julienne peeler is a great buy for the experienced cook.  Zucchini lovers will enjoy this peeler. The blades are quite sharp and require cautious use, but peel vegetables beautifully.   Not very hard to clean and comes with a protective shield.	This julienne peeler works well and is comfortable to use. It is very sharp, so be careful when taking it out of its storage place. The blade guard can make the peeler awkward to clean and has been known to break off. It works particularly well on zucchini, but carrots are more difficult. The price is reasonable.	This julienne peeler is a quality gadget that works well. The blades are very sharp which makes the blade guard useful. It takes practice to use this tool and its blade guard. It creates great julienned veggie noodles with harder vegetables like carrots and zucchinis, but not with soft items like papayas.	2.0	2.0	5.0	5.0	4.0	5.0	5.0	5.0
home_kitchen	B0002U34HY	We've used these filters in our DustBuster for several years. With a little care, such as occasionally blowing it out with air or tapping on sidewalk, they have very long life. Seem to catch everything from grit, to dog hair, to fine ashes without letting much blow through exhaust. Getting harder to find at local stores, so I bought two.	This is the wrong filter if you are buying the CHV1510 Hand Vacuum. Amazon pairs it up together and it SAYS it works with all 'cyclonic hand vacs,' but it doesn't. You need the VF110 for the CHV1510. Amazon WRONG. Product Description WRONG. Me wrong for not reading the reviews first.	Instead of having to buy an all new Dustbuster just because mine is older and the filters aren't in stock anywhere didn't mean I had to updrage & pay for a newer one. After having found the filters here, I buy them and they work extremely well. Very satisfied.	I bought this to replace my tired and dirty filter. After I received it, I realized that there was nothing wrong with the one I already had. (They are washable.) However it helps to have two, so you can change the filter quickly when necessary and not take time to wash the first one.	This item list listed with the vacuum -- 'frequently bought together' with the Black & Decker CHV9608 9.6 Volt Cyclonic-Action Cordless DustBuster BUT this filter does NOT fit! Argh! Corrections are needed in the 'frequently bought together' section, and the correct filter needs to be listed.	I bought these filters because it said they are often bought with the vaccum I got. Recently, I went to put them in the vaccum and discovered they do not fit. To boot, I missed the window to get a refund. Rip off!	I bought the cordless Cyclonic DustBuster CHV1408. The correct filter for the DustBuster CHV1408 is Replacement Filter VF08. In the 'Frequently Bought Together' section at Amazon, both the VF100 replacement filter and the VF08 replacement filter are listed. The VF100 replacement filter WILL NOT fit the CHV1408.	I was disappointed to discover that the filter does not fit the Black and Decker Dustbuster I own. There are nubs around the top that prevent it from working. I have not been able by number or description to locate the proper filter or Amazon or anywhere else. This is very disappointing as I purchased the vacuum on Amazon.	Buying a new dustbuster is unnecessary when in reality just cleaning or replacing the filters will do the job just fine. Amazon also provides added risk by recommending dustbusters that don't fit with certain filters.	Filter works well at catching ashes and dog hair if it fits your model. Care should be taken to ensure this is the right filter for your vacuum as the retailer seems to be mismatching vacuum and filter recommendations. The filter is washable which will help with maintaining a long usable life.	This washable filter will not fit all cyclonic hand vacuums and extra caution needs be taken beforehand to ensure that the fit is correct. There are issues fitting this in to the Black and Decker Dustbuster. When it does actually fit it performs well, trapping dirt without letting much get through the vacuum exhaust.	5.0	1.0	5.0	5.0	1.0	1.0	2.0	1.0
